time,commune_id_2cap,commune_name_2cap,provinceName_2cap,nguycosatlo,nguycoluquet
2025-10-22 09:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 09:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 09:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 09:00:00,1844,Phú Lộc,TP. Huế,Cao,Cao
2025-10-22 09:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 09:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 10:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 10:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 10:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 10:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 10:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 10:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 10:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 11:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 11:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 11:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 11:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 11:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 11:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 11:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 12:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 12:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 12:00:00,1841,A Lưới 1,TP. Huế,Cao,Cao
2025-10-22 12:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 12:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 12:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 12:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 13:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 13:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 13:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 13:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 13:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 13:00:00,1849,Khe Tre,TP. Huế,Trung bình,Trung bình
2025-10-22 13:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 14:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 14:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 14:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 14:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 14:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 14:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 14:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 15:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 15:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-22 15:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 15:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 15:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 15:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 15:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 15:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 15:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 16:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 16:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 16:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 16:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 16:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 16:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 16:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Cao,Cao
2025-10-22 17:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 17:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 17:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 17:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 17:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 17:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 17:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 17:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 18:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 18:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 18:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 18:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 19:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 19:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-22 19:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 19:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 20:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 20:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 20:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-22 20:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 21:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1819,P. Phong Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 21:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 21:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-22 21:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 22:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-22 22:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 22:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 22:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-22 22:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-22 23:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-22 23:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-22 23:00:00,1845,Vinh Lộc,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-22 23:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-22 23:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-23 00:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-23 00:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-23 00:00:00,1846,Hưng Lộc,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Cao,Cao
2025-10-23 00:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-23 00:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-23 00:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-23 01:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-23 01:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1837,P. Kim Trà,TP. Huế,Cao,Cao
2025-10-23 01:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-23 01:00:00,1846,Hưng Lộc,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Cao,Cao
2025-10-23 01:00:00,1848,Lộc An,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-23 01:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-23 01:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-23 02:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-23 02:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-23 02:00:00,1846,Hưng Lộc,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Cao,Cao
2025-10-23 02:00:00,1848,Lộc An,TP. Huế,Cao,Cao
2025-10-23 02:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-23 02:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-23 02:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-23 03:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-23 03:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1841,A Lưới 1,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-23 03:00:00,1846,Hưng Lộc,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Cao,Cao
2025-10-23 03:00:00,1848,Lộc An,TP. Huế,Cao,Cao
2025-10-23 03:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-23 03:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-23 03:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-23 04:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-23 04:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1843,A Lưới 4,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1844,Phú Lộc,TP. Huế,Rất cao,Rất cao
2025-10-23 04:00:00,1846,Hưng Lộc,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1847,Chân Mây - Lăng Cô,TP. Huế,Cao,Cao
2025-10-23 04:00:00,1848,Lộc An,TP. Huế,Cao,Cao
2025-10-23 04:00:00,1849,Khe Tre,TP. Huế,Cao,Cao
2025-10-23 04:00:00,1850,Nam Đông,TP. Huế,Trung bình,Trung bình
2025-10-23 04:00:00,1852,P. Hải Vân,TP. Đà Nẵng,Rất cao,Rất cao
2025-10-23 05:00:00,1813,P. Kim Long,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1816,P. Hương An,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1819,P. Phong Điền,TP. Huế,Cao,Cao
2025-10-23 05:00:00,1822,P. Phong Thái,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1832,P. Phú Bài,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1835,P. Hương Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1837,P. Kim Trà,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1838,Bình Điền,TP. Huế,Trung bình,Trung bình
2025-10-23 05:00:00,1840,A Lưới 5,TP. Huế,Trung bình,Trung bình
